Chi,Na,Nb,Nn,Pa,Pb,Pn
0.0001,12.51832625367631,-1.5100014612587667,21.428824245371963,11.520255641982683,-1.3727286011443345,21.428824245371963
0.0001250576959893,12.338996330434153,-1.486968840439614,19.776524687493783,11.318103203942172,-1.351789854945109,19.776524687493783
0.0001563942732616,12.184788246392706,-1.4604306915546132,18.24765681389455,11.12111966914831,-1.3276642650496528,18.24765681389455
0.0001955830748003,12.021840123581526,-1.4304431305701062,16.83309176523831,10.928945571740208,-1.3004028459781014,16.83309176523831
0.0002445916870905,11.815369437296908,-1.3970485623942084,15.52438116730943,10.74124597722648,-1.270044173306006,15.52438116730943
0.0003058807284569,11.612597629575752,-1.3602684608549354,14.313706555123247,10.557724993422498,-1.2366076917589082,14.313706555123247
0.0003825273914837,11.415949214803497,-1.3200972068323238,13.19383253334192,10.378135656200284,-1.2000883699541935,13.19383253334192
0.0004783799423177,11.222513983564365,-1.2764981316488286,12.158063391902726,10.2022854452728,-1.1604528470906215,12.158063391902726
0.0005982509339378,11.033042585124555,-1.2293998864354516,11.200202916332598,10.030038718939242,-1.1176362605940704,11.200202916332598
0.0007481588342175,10.847447295772618,-1.1786938063924226,10.314517151383681,9.861315733620335,-1.0715398241205938,10.314517151383681
0.0009356302004133,10.665697988263027,-1.1242318000940346,9.495699894303362,9.696089107911305,-1.022028909205198,9.495699894303362
0.0011700775716176,10.487814880988804,-1.0658013450277135,8.73884071050061,9.534377168969662,-0.9689316164220588,8.73884071050061
0.0014632720523533,10.31385762253798,-1.0032416817216987,8.039395279599653,9.376234219165312,-0.9120379021727022,8.039395279599653
0.0018299343147294,10.143911783456296,-0.9362090175252695,7.3931578940135445,9.221737987559372,-0.8510991078937511,7.3931578940135445
0.0022884736921194,9.978067644007936,-0.8644118473716731,6.796235945300723,9.070971863390055,-0.7858289547119427,6.796235945300723
0.0028619124726873,9.816403031267253,-0.7874956303597043,6.245026245736444,8.92400310011633,-0.7159057601667757,6.245026245736444
0.0035790417995751,9.658940607974177,-0.7050744545603582,5.736193043816699,8.780855146957933,-0.6409767873273917,5.736193043816699
0.004475867213045,9.505619623990365,-0.6166725062448886,5.266647602839226,8.641472387558334,-0.5606663323824163,5.266647602839226
0.0055974164121776,9.356245912735222,-0.5220465147075135,4.833529221312532,8.505678120450739,-0.47458774177120316,4.833529221312532
0.007,9.21043517091361,-0.42059814387989825,4.434187582741512,8.373123723135077,-0.38236198217897416,4.434187582741512
0.0075,9.166075380551995,-0.387870778056826,4.317403693444179,8.332795801978365,-0.35260979894836164,4.317403693444179
0.0078608485061601,9.136009488553618,-0.36518520404210675,4.239532529029439,8.30546319254894,-0.3319865498986168,4.239532529029439
0.0082390585649066,9.106053513650181,-0.3421763475260376,4.162990898836737,8.278231063883265,-0.31106942861089476,4.162990898836737
0.0086354654949483,9.076199777311395,-0.3188414843440741,4.087757874161511,8.251090953542183,-0.28985595110353213,4.087757874161511
0.0090509448047949,9.046437225110385,-0.29517815999856767,4.013812854017814,8.224033848604599,-0.26834378214826454,4.013812854017814
0.0094864141264147,9.016754954320863,-0.2711839256976176,3.941135559433315,8.197049965776724,-0.24653084430748679,3.941135559433315
0.0099428352419258,8.98714155012679,-0.24685686938200985,3.8697060278266924,8.170128684247137,-0.22441533731222693,3.8697060278266924
0.0104212162077985,8.957579050394415,-0.2221951988250338,3.7995046074657304,8.143258762189147,-0.20199567985599268,3.7995046074657304
0.0109226135812593,8.928070966447976,-0.1971976373048065,3.7305119520047567,8.116428166530632,-0.1792705795162654,3.7305119520047567
0.0114481347538142,8.89858622276686,-0.17186308330895525,3.6627090150999346,8.089623850973398,-0.15623916759320997,3.6627090150999346
0.0119989403970454,8.869115244008789,-0.1461909481080227,3.5960770451009254,8.062832044236224,-0.13290086215656843,3.5960770451009254
0.0125762470260825,8.839641639201767,-0.12018116582750601,3.5305975798175635,8.03603788142365,-0.10925560556110822,3.5305975798175635
0.0131813296864109,8.810148258915746,-0.0938340744578595,3.466252441360021,8.009225690326495,-0.08530370560403758,3.466252441360021
0.0138155247699503,8.78061624834568,-0.06715079530449627,3.40302373105121,7.98237841739692,-0.061046177909563515,3.40302373105121
0.0144802329666243,8.75102585145337,-0.04013302993592685,3.3408938244098665,7.955478047326935,-0.03648457300555233,3.3408938244098665
0.0151769223579386,8.72135566554315,-0.012783324523967295,3.279845366203099,7.928505164911519,-0.01162120600044865,3.279845366203099
0.0159071316594014,8.691582853935326,0.013269203838766348,3.2198612655669225,7.901438958456687,0.01354075710950189,3.2198612655669225
0.0166724736189464,8.661682721260247,0.03821508482030725,3.16092469119351,7.874257019660013,0.0389971536919959,3.16092469119351
0.0174746385788652,8.631628678399089,0.06150554361281063,3.1030190665837534,7.846935162180991,0.06474267748716911,3.1030190665837534
0.0183153982091148,8.601392201369684,0.08169372860426413,3.0461280653638854,7.819447455790622,0.09077080956029346,3.0461280653638854
0.0191966094202465,8.570942479192123,0.10536625097583131,2.990235606664798,7.791765901428237,0.11707361138324449,2.990235606664798
0.0201202184645979,8.540246546195693,0.12927747512064947,2.935325850562791,7.763860499185581,0.14364163803841876,2.935325850562791
0.0210882652348067,8.509268937797483,0.1534174382018317,2.8813831935803966,7.735699063408209,0.17046381900460755,2.8813831935803966
0.0221028877691385,8.477972197494656,0.17777471463457412,2.8283922642461232,7.707247461150599,0.1975274588558572,2.8283922642461232
0.0231663269735811,8.446316594689296,0.20233644622127922,2.7763379187117208,7.678469647580678,0.22481827198512197,2.7763379187117208
0.0242809315711323,8.414260613020964,0.22708832568806137,2.7252052364258508,7.649327847707209,0.25232036141372927,2.7252052364258508
0.0254491632892149,8.381761431422625,0.25201490559172324,2.6749795158627903,7.619783136013622,0.28001655711492623,2.6749795158627903
0.0266736022966734,8.348775217154387,0.2770996566306695,2.6256462703050683,7.589795663410024,0.30788850568863124,2.6256462703050683
0.027956952902362,8.315258295065252,0.30232558657960623,2.5771912236787706,7.5593257227865935,0.3359173184217847,2.5771912236787706
0.0293020495279096,8.281167327259997,0.3276753160397202,2.529600306440331,7.528333941711427,0.3640836842135729,2.529600306440331
0.0307118629678531,8.246460787429314,0.3531318893693042,2.482859651513675,7.496782593906143,0.39236871596638134,2.482859651513675
0.0321895069509658,8.211099364017308,0.37867873342859704,2.436955590276515,7.464635815447942,0.4207541031202583,2.436955590276515
0.0337382450172708,8.175047041660097,0.4043007395576086,2.391874648594781,7.431860958327854,0.4492230383509507,2.391874648594781
0.0353614977259304,8.138271697763443,0.4299844150866803,2.347603542903973,7.398428827461571,0.47776045524960375,2.347603542903973
