Chi,Na,Nb,Pa,Pb
0.5,37.95938536425114,-5.449429662392513,40.044936540235675,-5.411878358071352
0.85,22.67545301645985,-4.7211427653801685,23.600594404727268,-4.705378805784976
1.0,20.02858003743246,-4.580273004432855,20.643552392074803,-4.571854116672789
1.25,17.217358051517785,-4.436130169581784,17.463689438127243,-4.4352966132806575
1.75,14.144828802034514,-4.305696998572255,13.976898408511508,-4.307495061023167
2.0,13.18410081802114,-4.276241866325394,12.899557393130896,-4.275837644206031
2.5,11.80627799922526,-4.246989496188305,11.381636498637429,-4.239424793342931
3.0,10.848193802380086,-4.236044269195947,10.352069259725278,-4.220331720774526
3.5,10.134332343787873,-4.232264833710757,9.601059083080077,-4.208810471999253
4.0,9.578083145606046,-4.231162159446066,9.025483764692986,-4.200800111800009
5.0,8.762227102145424,-4.230471260943153,8.194989737709404,-4.188881087091923
5.5,8.452970868328398,-4.229736598780544,7.883654139012476,-4.183635691948027
6.0,8.189421709850903,-4.228515780342715,7.6194167925085585,-4.1784906280972205
7.0,7.763432664669345,-4.224592144821204,7.193627912876521,-4.168100897810662
8.0,7.433285731851406,-4.218939850064192,6.8639197304526025,-4.157350113879876
9.0,7.16925173521898,-4.211926178846522,6.599798674944997,-4.146206247965218
10.0,6.952765309040441,-4.20387140845088,6.382621299433742,-4.134723906290372
13.5,6.424272708278872,-4.170570385711068,5.8484889551285,-4.092890563083205
15.0,6.254972583917757,-4.154285516996387,5.6863387126530025,-4.07458136064716
17.5,6.0158990502507725,-4.125685158368122,5.468999136591611,-4.043989535190083
20.0,5.827324154380841,-4.096840623121052,5.2975674130735,-4.013564537655135
25.0,5.544598009594809,-4.0396193469611585,5.040543645086199,-3.953871040322822
27.5,5.434409465653065,-4.012000383629948,4.9403722428055925,-3.924766476996628
30.0,5.338591592487125,-3.983894342873022,4.853265084079215,-3.896208180019678
35.0,5.178743073540717,-3.930014805814338,4.707948248717954,-3.8407795897911687
40.0,5.049180991899777,-3.8779928326075748,4.590164538090708,-3.787600559516702
45.0,4.940783455931054,-3.8277461988713917,4.49162132357369,-3.7366108927406514
50.0,4.847902805322109,-3.779196344803497,4.4071843684746455,-3.687720506848307
60.0,4.69504491643608,-3.687032652371656,4.268222651305969,-3.5958346596410387
78.8,4.482118570580326,-3.531361651610074,4.074653245982116,-3.44198934727428
97.6,4.326320486516897,-3.3976707269412287,3.9330186250397983,-3.309015957815815
116.4,4.205357087597525,-3.2833463491872,3.823051897816682,-3.193265848167302
135.2,4.108175288371882,-3.1848635725451118,3.7347048076155884,-3.0918733553454483
154.0,4.028442971694279,-3.0991340364324564,3.6622208833584438,-3.0025596098088974
172.8,3.9621505036402205,-3.02368293610773,3.6019550033092935,-2.9234884454997037
191.6,3.9065668930703463,-2.956601377882203,3.551424448245772,-2.853163402035703
210.4,3.8597280652589863,-2.89644615210314,3.5088436956900106,-2.790353148931013
229.20000000000002,3.820161838771037,-2.8421124915981,3.4728743988827633,-2.7340360884679322
248.0,3.786728487913244,-2.7927401416370237,3.4424804435574945,-2.683358481748373
266.8,3.758523597290538,-2.74764615605741,3.4168396339004903,-2.637602242333638
285.6,3.7348143397064972,-2.7062784154152046,3.395285763369544,-2.5961598878180236
304.4,3.7149975108851985,-2.668182914249691,3.3772704644410902,-2.558514654251703
323.2,3.6985700987417176,-2.6329809722984368,3.3623364534015634,-2.524224783117078
342.0,3.685108010600235,-2.6003528711462387,3.350098191455001,-2.492910830283685
360.8,3.6742501579430886,-2.570025866985323,3.3402274163119072,-2.464245435882502
379.6,3.665686968729803,-2.5403803035350427,3.3324426988930713,-2.4379450131734073
398.40000000000003,3.659151077864051,-2.5153676506366285,3.3265009798764105,-2.4137628854273285
417.2,3.6544104589554696,-2.4906553943162786,3.3221913263231553,-2.3914836605548624
436.0,3.651262663262858,-2.467472794035853,3.3193296938753267,-2.370918626508483
454.8,3.649530066034604,-2.4456822531807765,3.317754605486134,-2.351901832981046
473.6,3.64905662867212,-2.4251607025435784,3.3173242078837664,-2.3342868898229012
492.40000000000003,3.6497042301533025,-2.406176001278527,3.317912936516346,-2.317944282332366
511.20000000000005,3.6513509216992777,-2.3876784691949133,3.319409928845003,-2.302759018558791
530.0,3.6538881026703063,-2.3701980441026054,3.3217164569730055,-2.2886287617665078
548.8,3.657219159166716,-2.3545175950250368,3.324744690151987,-2.2754621941551134
567.6,3.6612580636455325,-2.3381995620477176,3.3284164214959384,-2.2631775388727116
586.4,3.66592747312804,-2.323379951832437,3.33266133920731,-2.251701512851334
605.2,3.6711582354813843,-2.3085906810769767,3.337416577717547,-2.2409682451875597
624.0,3.676889266298397,-2.2958055378045694,3.342626605725828,-2.230918016536531
642.8000000000001,3.683063452465956,-2.2829474285686713,3.348239502241781,-2.2214975438899907
661.6,3.6896320488783676,-2.2706460207137487,3.35421095352579,-2.2126578763019014
680.4,3.696548848780799,-2.2588630895579445,3.360498953476867,-2.2043552115058307
699.2,3.7037733701097504,-2.2475436443110186,3.3670667001024004,-2.1965494133416907
718.0,3.711268936717648,-2.2369480625531577,3.3738808515994423,-2.1892040064155687
736.8000000000001,3.719002034572082,-2.226199577960548,3.3809109405200752,-2.1822857929927784
755.6,3.726942680929361,-2.216096234537301,3.3881297099357868,-2.17576437591124
774.4,3.7350635741518574,-2.2063307381508133,3.3955123401380587,-2.1696119708464767
793.2,3.7433400435737694,-2.196873996318067,3.4030364032489198,-2.1638031213883444
812.0,3.751749695284511,-2.158314446807661,3.410681541167737,-2.158314446807661
830.8000000000001,3.760272113374933,-2.178769391883694,3.4184291939772242,-2.153124513591025
849.6,3.768889000158717,-2.170069877106914,3.4262627274170265,-2.1482135097929564
868.4,3.7775835529188155,-2.161574302397862,3.434166866290095,-2.14356327067558
887.2,3.786342276687847,-2.153420204264731,3.442129342700799,-2.139156698831746
906.0,3.795146757788564,-2.1450835952520175,3.4501334161714254,-2.1349790389197274
924.8000000000001,3.803989071337936,-2.137048574992205,3.458171883034497,-2.1310152026653193
943.6,3.8128563996803737,-2.129123810972503,3.466233090618596,-2.1272521173235175
962.4000000000001,3.8217383755652587,-2.1228966943924337,3.4743076154348462,-2.1236775004163864
981.2,3.8306258335618466,-2.1135258486641892,3.482387121419861,-2.1202799078836314
1000.0,3.8395103812431826,-2.1058131381455847,3.490463982948361,-2.1170486915640674
1050.0,3.863069021080644,-2.0854138898005274,3.5118809282562298,-2.1091924349978246
1332.142857142857,3.264762365802543,-2.243779606031887,3.6275137397805644,-2.0791894956332193
1614.2857142857142,3.3568977589375955,-2.1449056058194933,3.729886398819538,-2.0631620845395933
1896.4285714285716,3.436520535323246,-2.0321764453933584,3.818356150359162,-2.0538291660264036
2178.5714285714284,3.5051303027145577,-1.916187079362131,3.894589225238396,-2.047978691437393
2460.714285714286,3.5645318336715963,-1.8396627307281543,3.960590925713204,-2.044069700400807
2742.857142857143,3.6163466826467126,-1.8371805483895423,4.018162972713779,-2.0413117108890644
3025.0,3.6619149107046516,-1.8353476714177837,4.068794343868424,-2.039275179018685
3307.1428571428573,3.702312887851888,-1.8339428186709847,4.113680986283146,-2.0377142349585715
3589.2857142857147,3.7383979345057297,-1.8328331978197698,4.153775480267484,-2.036481326217009
3871.4285714285716,3.77085421622213,-1.8319354526397262,4.18983801797208,-2.0354838174085437
4153.571428571429,3.8002304727432628,-1.8960637595653633,4.222478303048055,-2.0346611564495554
4435.714285714286,3.8269704525365897,-2.004197425499049,4.252189391707314,-2.033972183645049
4717.857142857143,4.160199844566047,-1.9131569851786365,4.279373331715754,-2.0333879638132313
5000.0,4.526554315036799,-1.8295988041096063,4.304360564324383,-2.032887560121784
