chi,T
1.0,0.014135754351950568
1.0588277187318367,0.016306555033112607
1.1211161379548658,0.018653233988989645
1.1870688427841978,0.021168609036398407
1.2569013947828336,0.023843136114922264
1.3308420365087716,0.026665120708674793
1.4091324375090146,0.029620972997171834
1.4920284841987028,0.03269549514154837
1.579801116207033,0.03587218915490676
1.672737211923502,0.039133574369276
1.771140526138815,0.04246150448061716
1.8753326828450665,0.0458374754080377
1.9856542264400974,0.04924291663317008
2.1024657347717985,0.05265946019052997
2.2261489976602786,0.05606918297211826
2.3571082647497974,0.059454819435155216
2.495771566768987,0.06279994309076936
2.642592114517789,0.06608911629681903
2.7980497801536113,0.06930800884083597
2.9626526656181658,0.07244348658555944
3.136938763331278,0.07548367205903714
3.321477714579527,0.07841797931553578
3.5168726713468748,0.08123712568849638
3.723762267672553,0.08393312322089987
3.9428227069794213,0.0864992526117536
4.174769972195106,0.0889300224812003
4.420362165889519,0.09122111664716852
4.680401988077319,0.09336933194645762
4.955739359783863,0.09537250866920283
5.247274200949521,0.09722945756602515
5.555959371751802,0.09893987975239361
5.882803786958731,0.1005042903973662
6.228875713492524,0.10192393834905877
6.595306261981433,0.10320072842156856
6.983293083711599,0.10433714546955725
7.394104285062165,0.10533618128297362
7.829082572217673,0.10620126466397206
8.28964963970442,0.10693619683931374
8.777310817094424,0.10754508739264886
9.293659989064363,0.10803229945176615
9.840384804890368,0.10840239568128426
10.419272194405497,0.10866009021378327
11.032214208448437,0.10881020475184701
11.681214202892415,0.1088576289693792
12.368393386466504,0.10880728495038251
13.095997753770272,0.10866409620166646
13.866405426141833,0.10843295883861054
14.682134424372526,0.10811871835991553
15.54585089867253,0.10772614812342385
16.46037784278671,0.10725993146901981
17.42870432074193,0.1067246465156999
18.45399523638288,0.10612475349831996
19.539601677627477,0.10546458441268691
20.68907186925107,0.10474833474638735
21.906162769998126,0.10398005708360579
23.19485235192542,0.10316365638427923
24.55935260211097,0.1023028867502691
26.00412328922395,0.10140134950393247
27.533886539950434,0.1004624924179946
29.153642272916944,0.09948960994771662
30.868684540556686,0.0984858443294426
32.684618832330365,0.09745418742139032
34.607380395855984,0.09639748317416502
36.6432536358291,0.09531843062940289
38.798892654137006,0.0942195873551808
41.081342998301295,0.0931033732367353
43.49806468933149,0.09197207454942193
46.05695660425473,0.09082784824968633
48.76638229301426,0.0896727264269721
51.635197314116915,0.08850862086704646
54.67277817837467,0.08733732768254629
57.88905299534023,0.08616053208388783
61.29453392260249,0.08497981248555353
64.90035152400037,0.08379664623609835
68.71829114905162,0.08261241308806735
72.7608314525005,0.0814284002480857
77.04118517988276,0.08024580667452014
81.5733423524123,0.07906574738125208
86.37211599233582,0.077889257626357
91.45319053820658,0.07671729697716681
96.83317310831725,0.07555075324514851
102.52964777984464,0.07439044628620585
108.56123306111157,0.07323713166211067
114.94764274481207,0.072091504163189
121.70975034109158,0.07095420118960417
128.86965730107931,0.06982580599268778
136.45076525385545,0.0687068507770822
144.47785249295322,0.06759781966557403
152.97715496238837,0.06649915152903091
161.9764520069124,0.06541124268432452
171.505157166756,0.06433444946359575
181.59441431362146,0.06326909065823036
192.2771994421357,0.06221544984174405
203.58842844946298,0.06117377757532859
215.56507125534478,0.06014429349970396
228.2462726355624,0.059127188318830855
241.6734801637575,0.058122625678205704
255.89057967977527,0.05713074394289842
270.94403872730356,0.05615165787925663
286.8830584296214,0.05518546024580465
303.7597342998484,0.054232223288230325
321.62922651129713,0.053292000170127606
340.54994018444205,0.05236482629735292
360.5837162797564,0.051450720585895136
381.7960337203425,0.05054968664932755
404.2562234049734,0.049661713918675854
428.037694811036,0.04878677869674104
453.2181759280036,0.04792484515023407
479.879967305652,0.04707586624329543
508.1102110473521,0.04623978461485219
538.0011756276201,0.045416533403247215
569.6505574648389,0.04460603702147747
603.1618002348147,0.04380821188106163
638.644432968817,0.0430229670810818
676.2144280411595,0.042250205041720994
715.9945802163751,0.041489822107694654
758.1149079948639,0.04074170911000784
802.7130785687974,0.040005751892748194
849.9348577772098,0.03928183180631839
899.9345865309116,0.038569826168738434
952.8756852644033,0.03786960869747459
1008.9311880635443,0.037181049912754886
1068.2843082147247,0.03650401751450062
1131.1290370240158,0.0358383767345632
1197.6707778634773,0.03518399066348888
1268.1270175169707,0.03454072055998326
1342.7280370197025,0.03390842613306375
1421.717664314848,0.033286965809453284
1505.3540711872465,0.03267619698059152
1593.9106170788757,0.03207597623262299
1687.6767425440792,0.03148615956013224
1786.9589152647254,0.03090660256442388
1892.0816317172678,0.030337160637555826
2003.3884777656049,0.029777689132823273
2121.243251646203,0.029228043522487316
2246.0311530158538,0.028688079543793404
2378.1600419484143,0.02815765333284394
2518.061771995447,0.027636621550352992
2666.193601667787,0.027124841494389474
2823.0396889513236,0.026622171206266764
2989.1126737417626,0.026128469566828953
3164.9553533704125,0.025643596384787404
3351.1424566973096,0.025167412477459905
3548.282522570213,0.02469977974440002
3757.0198887890674,0.024240561234330486
3978.036798076669,0.02378962120588719
4212.055627938817,0.02334682518255016
4459.841251702053,0.022912040002015435
4722.203538445827,0.022485133860434627
4999.999999999999,0.022065976352320344
