chi,T
9.999999999999999e-05,1.4432423901282316
0.0001250576959893667,1.443209008327009
0.00015639427326168853,1.44316727072246
0.00019558307480038186,1.443115088557665
0.000244591687090517,1.443049852502034
0.00030588072845692186,1.4429683037903072
0.0003825273914837177,1.4428663739586898
0.0004783799423177619,1.4427389858009296
0.0005982509339378545,1.4425798065926492
0.0007481588342175492,1.4423809428061307
0.0009356302004133719,1.4421325634854931
0.0011700775716176571,1.4418224372162534
0.0014632720523533743,1.4414353653577903
0.0018299343147294477,1.4409524921220087
0.002288473692119454,1.4403504706228285
0.002861912472687383,1.4396004638138613
0.003579041799575151,1.438666961300819
0.0044758672130450474,1.4375063987852414
0.005597416412177617,1.436065578334517
0.007000000000000001,1.4342799072346946
0.0075000000000000015,1.433647618174672
0.00786084850616014,1.4331926758279774
0.008239058564906688,1.4327170769891076
0.008635465494948353,1.4322199408338079
0.009050944804794967,1.431700354116499
0.00948641412641472,1.4311573704490332
0.009942835241925822,1.4305900095891704
0.010421216207798532,1.4299972567627561
0.010922613581259328,1.4293780620190983
0.011448134753814253,1.4287313396403583
0.011998940397045438,1.428055967565666
0.012576247026082562,1.42735078691157
0.01318132968641094,1.4266146015182575
0.013815524769950373,1.425846177576942
0.014480232966624373,1.425044243325162
0.015176922357938676,1.4242074888257188
0.01590713165940143,1.423334565828491
0.01667247361894646,1.422424087732976
0.017474638578865293,1.4214746296488556
0.018315398209114882,1.4204847285688538
0.01919660942024652,1.419452883661469
0.020120218464597946,1.4183775566882977
0.021088265234806735,1.417257172557311
0.022102887769138577,1.4160901200147962
0.023166326973581116,1.4148747524917755
0.024280931571132328,1.4136093891026018
0.02544916328921496,1.4122923158093947
0.026673602296673465,1.4109217867554227
0.02795695290236205,1.409496025774775
0.02930204952790963,1.4080132280818811
0.03071186296785318,1.406471562149138
0.03218950695096584,1.4048691717676487
0.03373824501727083,1.403204178307125
0.03536149772593046,1.4014746831637985
0.03706285020992875,1.3996787704039888
0.03884606009423408,1.397814509600746
0.04071506579492895,1.3958799588620605
0.04267399521763722,1.3938731680464618
0.044727174874459825,1.3917921821628365
0.04687913943955478,1.3896350449465902
0.04913464176446632,1.3873998026059662
0.051498663375322495,1.3850845077283032
0.05397642547508641,1.3826872233364593
0.056573400475159616,1.3802060270821968
0.05929532408180774,1.3776390155640423
0.06214820796410133,1.374984308753367
0.06513835303135145,1.3722400545129785
0.06827236334936414,1.369404433190714
0.07155716072624954,1.366475662267913
0.07500000000000001,1.3634520010450828
0.08500000000000002,1.3549227519058096
0.08938559163950684,1.3512945969004544
0.09399745873817264,1.347549054013249
0.09884727602260811,1.3436843950600013
0.10394732057922897,1.3396989877097858
0.10931050293312781,1.3355913014076257
0.11495039973046675,1.331359913057385
0.12088128810712444,1.3270035124347985
0.12711818183059995,1.3225209072969335
0.1336768693066657,1.3179110281668942
0.14057395354698052,1.3131729327484827
0.14782689419883996,1.3083058099780553
0.1554540517434599,1.3033089836644864
0.16347473397467846,1.2981819157123335
0.17190924487573667,1.2929242089177682
0.18077893601786565,1.2875356093186243
0.19010626061079378,1.2820160080957004
0.19991483034200083,1.2763654430229285
0.2102294751486044,1.2705840994616848
0.2210763060731882,1.2646723109077795
0.23248278136268968,1.2586305590923488
0.24447777597767212,1.2524594736494141
0.25709165468794143,1.2461598313600846
0.27035634893954624,1.2397325549878153
0.2843054376877447,1.2331787117220827
0.2989742324005647,1.2264995112477908
0.31439986644813983,1.2196963034610333
0.3306213891041047,1.212770575851661
0.3476798643970117,1.2057239505756527
0.3656184750620047,1.1985581812387491
0.3844826318559006,1.19127514941562
0.4043200885124043,1.183876860926666
0.4251810626284591,1.1763654418953433
0.4471183627877532,1.1687431346121528
0.4701875222431879,1.1610122932151667
0.49444693949671903,1.1531753792280939
0.5199580261324431,1.145234956956474
0.5467853622771597,1.1371936887704397
0.5749968600819527,1.1290543302946816
0.6046639356386361,1.120819725512175
0.6358616897662607,1.1124928018078923
0.6686690981253383,1.1040765649600142
0.7031692111410448,1.0955740940948686
0.7394493642415008,1.0869885366160539
0.7776013989433379,1.0783231031202227
0.8177218953442169,1.0695810623081015
0.8599124166108434,1.0607657359011649
0.9042797660813922,1.0518804935715402
0.9509362576331771,1.0429287478929883
1.0,1.0339139493200988
1.25,0.9932591332565354
1.4020662751794546,0.9719872617247948
1.5726318719964725,0.9505295569658118
1.7639472887988699,0.9289284194200459
1.9785368038553037,0.9072258780737451
2.2192317815094955,0.8854633332494222
2.4892080301287067,0.8636813148072605
2.7920277047594753,0.8419192575025949
3.131686307367968,0.8202152951535631
3.512665404801527,0.798606075109578
3.9399917600494474,0.7771265942816852
4.419303657000218,0.7558100577006469
4.956925293805791,0.734687760231592
5.559950226423288,0.7137889917028793
6.2363349633155725,0.693140965322329
6.995003946229813,0.6727687688851502
7.845967302204818,0.6526953379177718
8.800452920465684,0.6329414495910126
9.87105459687158,0.6135257359631276
11.071898200583014,0.5944647148993055
12.418828055406031,0.5757728368500652
13.9296159949898,0.5574625455640841
15.624195850220401,0.5395443507961069
17.524926462714244,0.5220269109552906
19.6568866946973,0.5049171238752769
22.04820632772707,0.488220223782935
24.730437216243494,0.4719398827242924
27.738969593070298,0.4560783148811007
31.113499019737795,0.4406363822482103
34.89855014272272,0.4256137004607322
39.14406416621653,0.4110087435064146
43.90605779273021,0.39681894647899085
49.24736232581371,0.3830408053389099
55.23845268685333,0.3696699732898617
61.95837728426638,0.3567013529164831
69.49580100409175,0.3441291839623505
77.95017508353564,0.331947126206603
87.43304930316735,0.32014833736812687
98.06954381125877,0.30872554595089924
109.99999999999996,0.29767111895643994
