Chi,Na,Nb,Nn,Pa,Pb,Pn
398.40000000000003,3.7353050458444645,-2.207831016266911,0.2634423012500383,3.395731860374074,-2.4530008110681183,0.2718535582507712
417.2,3.7098323561084205,-2.1778793402240977,0.2619802068120004,3.3726824801414823,-2.4198659335596693,0.27022287381884846
436.0,3.685248424054042,-2.149361542595158,0.2606134430081493,3.3502258400796476,-2.3881464133688413,0.26868159809096787
454.8,3.661160671065768,-2.12197588855177,0.25932458684932924,3.3283278836186483,-2.3577509871777997,0.2672213412863407
473.6,3.637654155295312,-2.0957370544251557,0.2581884287239755,3.3069583302928978,-2.3285967262482643,0.26583481250905716
492.40000000000003,3.6146997999756563,-2.070584458593373,0.25695283705973193,3.286090727627956,-2.3006077582029567,0.2645156342715997
511.20000000000005,3.592272087057031,-2.0463438182130114,0.25585883204736504,3.265701897488557,-2.2737153531196777,0.26325822314143593
530.0,3.5703483246190393,-2.023070691909459,0.2547473626823036,3.245771211027114,-2.247856323214971,0.2620576450287827
548.8,3.548906835170669,-2.0006748833978305,0.2538275085200249,3.2262789411161252,-2.2229720926640417,0.2609095035621739
567.6,3.5279290911164836,-1.9791089336990977,0.25288253282069995,3.2072082646826257,-2.199009213338649,0.25980990254898306
586.4,3.5073908112302457,-1.9583264332693129,0.25198042946296084,3.1885436828132443,-2.175918259185419,0.25875535546412465
605.2,3.4872948895993465,-1.9382871395598005,0.2511692729359144,3.170268086751034,-2.1536523739547215,0.2577426812341589
624.0,3.4533877315160613,-1.9189536927867072,0.25016458018387916,3.152373195481303,-2.1321707697607817,0.25676913987989264
642.8000000000001,3.4483237063274235,-1.904042586794263,0.2500000000000002,3.134839733024941,-2.1114315727198854,0.2558320640865041
661.6,3.429428312396246,-1.9222136631379723,0.2500000000000018,3.117662102178575,-2.091399994883316,0.2549292374719794
680.4,3.410879080135211,-1.9395084180066486,0.25000000000060096,3.1008242085086692,-2.072039931667735,0.2540584667291911
699.2,3.3927493076549,-1.9558827148088542,0.25000000000000006,3.084317552413558,-2.0533199106189457,0.25321785997600865
718.0,3.3747879018869895,-1.9713427883495571,0.2500000000401039,3.06813113541814,-2.0352094406429524,0.25240563665967225
736.8000000000001,3.3574819091871126,-1.9859096608996505,0.2500000000178484,3.0522562846702233,-2.017680604019842,0.2516201956087992
